P	P (slang)_femme_(lesbian_stereotype) 
钟	钟 clock o'clock time_as_measured_in_hours_and_minutes bell CL:架[jia4],座[zuo4] 
阚	阚 surname_Kan 
阚	阚 to_glance to_peep 
阓	阓 gate_of_market 
阐	阐 to_express to_disclose to_enlighten to_open 
辟	辟 to_open_(a_door) to_open_up_(for_development) to_dispel to_refute to_repudiate 
阛	阛 wall_around_a_market_place 
闼	闼 door_of_an_inner_room 
阆	阆 in_閌閬|闶阆,_open_space_in_a_structure 
阆	阆 lofty high_gate empty_moat 
闾	闾 gate_of_a_village village 
阅	阅 to_inspect to_review to_read to_peruse to_go_through to_experience 
阉	阉 to_castrate a_castrate neuter 
闲	闲 variant_of_閑|闲,_idle unoccupied leisure free_time 
阊	阊 gate_of_heaven gate_of_palace 
阃	阃 threshold inner_appartments woman wife_(honorific) 
镫	镫 stirrup 
镢	镢 variant_of_钁|䦆[jue2] 
镨	镨 praseodymium_(chemistry) 
锎	锎 californium_(chemistry) 
锏	锏 ancient_weapon_like_a_long_solid_metal_truncheon 
镄	镄 fermium_(chemistry) 
𬭼	𬭼 speculum 
镌	镌 to_engrave_(on_wood_or_stone) to_inscribe 
阴	阴 surname_Yin 
阴	阴 overcast_(weather) cloudy shady Yin_(the_negative_principle_of_Yin_and_Yang) negative_(electric.) feminine moon implicit hidden genitalia 
阎	阎 Yama gate_of_village surname_Yan 
坑	坑 variant_of_坑[keng1] pit hole 
镁	镁 magnesium_(chemistry) 
锿	锿 einsteinium_(chemistry) 
镅	镅 americium_(chemistry) 
镑	镑 pound_(sterling)_(loanword) 
镰	镰 variant_of_鐮|镰[lian2] 
𬭩	𬭩 shovel spade -onium_(chemistry) 
镕	镕 to_smelt to_fuse variant_of_熔[rong2] 
锁	锁 to_lock_up to_lock lock CL:把[ba3] 
凿	凿 chisel to_bore_a_hole to_chisel_or_dig certain authentic irrefutable also_pr._[zuo4] 
䦆	䦆 mattock hoe 
镋	镋 ancient_weapon_resembling_a_pitchfork 
长	长 length long forever always constantly 
长	长 chief head elder to_grow to_develop to_increase to_enhance 
阏	阏 to_block to_restrain to_control 
阏	阏 see_閼氏|阏氏[yan1_zhi1] 
阍	阍 doorkeeper 
阈	阈 threshold 
阌	阌 wen_xiang,_Henan_province 
阒	阒 quiet to_live_alone 
板	板 see_老闆|老板,_boss 
板	板 to_catch_sight_of_in_a_doorway_(old) 
暗	暗 to_close_(a_door) to_eclipse muddled stupid ignorant variant_of_暗[an4] 
闱	闱 door_to_women's_room gate_to_palace 
𬮱	𬮱 surname_Yin 
𬮱	𬮱 inner_gates 
阔	阔 rich wide broad 
钐	钐 samarium_(chemistry) 
扣	扣 button 
钏	钏 surname_Chuan 
钏	钏 armlet bracelet 
钒	钒 vanadium_(chemistry) 
焊	焊 variant_of_焊[han4] 
钗	钗 hairpin 
钍	钍 thorium_(chemistry) 
钕	钕 neodymium_(chemistry) 
钎	钎 a_drill_(for_boring_through_rock) 
𬬭	𬬭 (metal) roentgenium_(chemistry) 
锞	锞 grease-pot_for_cart ingot 
录	录 surname_Lu 
录	录 diary record to_hit to_copy 
镰	镰 scythe sickle 
镯	镯 bracelet 
镭	镭 radium_(chemistry) 
铁	铁 surname_Tie 
铁	铁 iron_(metal) arms weapons hard strong violent unshakeable determined close tight_(slang) 
枪	枪 variant_of_槍|枪[qiang1] rifle spear 
镉	镉 cadmium_(chemistry) 
锤	锤 variant_of_錘|锤[chui2] 
镈	镈 ancient_musical_intrument_shaped_as_a_bell hoe spade 
镃	镃 hoe mattock 
钨	钨 tungsten_(chemistry) 
蓥	蓥 polish 
镏	镏 lutetium_(chemistry)_(Tw) 
铠	铠 armor 
铩	铩 spear to_cripple_(literary) 
锼	锼 to_engrave_(metal_of_wood) 
镐	镐 a_pick 
镐	镐 bright place_name stove 
镇	镇 to_press_down to_calm to_subdue to_suppress to_guard garrison small_town to_cool_or_chill_(food_or_drinks) 
铳	铳 ancient_firearm gun 
铜	铜 copper_(chemistry) see_also_紅銅|红铜[hong2_tong2] CL:塊|块[kuai4] 
阕	阕 (literary)_to_end to_stop one_of_the_stanzas_(usually_two)_of_a_ci_poem_詞|词[ci2] classifier_for_songs_or_ci_poems 
阑	阑 railing balustrade door-screen exhausted late 
阇	阇 defensive_platform_over_gate barbican 
阇	阇 (used_in_Buddhist_transliteration) 
阗	阗 fill_up rumbling_sound 
𫔶	𫔶 vertical_divider_of_a_door_way 
阘	阘 door_or_window_in_an_upper_story 
闿	闿 to_loosen to_open 
阖	阖 door to_close whole 
门	门 surname_Men 
门	门 gate door CL:扇[shan4] gateway doorway CL:個|个[ge4] opening valve switch way_to_do_something knack family house (religious)_sect school_(of_thought) class category phylum_or_division_(taxonomy) classifier_for_large_guns classifier_for_lessons,_subjects,_branches_of_technology (suffix)_-gate_(i.e._scandal;_derived_from_Watergate) 
钯	钯 palladium_(chemistry) Taiwan_pr._[ba1] 
钯	钯 archaic_variant_of_耙[pa2] 
钫	钫 francium_(chemistry) 
钘	钘 long-necked_wine_flask 
钭	钭 surname_Tou 
钭	钭 a_wine_flagon 
铅	铅 old_variant_of_鉛|铅[qian1] 
𫓧	𫓧 axe flerovium_(chemistry) 
钚	钚 plutonium_(chemistry) 
钠	钠 sodium_(chemistry) 
钝	钝 blunt stupid 
钩	钩 variant_of_鉤|钩[gou1] 
钤	钤 latch_of_door seal 
钣	钣 metal_plate sheet_of_metal 
钑	钑 germanium_(old) 
钞	钞 money paper_money variant_of_抄[chao1] 
钮	钮 surname_Niu 
钮	钮 button 
钧	钧 30_catties great your_(honorific) 
钙	钙 calcium_(chemistry) 
钬	钬 holmium_(chemistry) 
钛	钛 titanium_(chemistry) 
钪	钪 scandium_(chemistry) 
锖	锖 the_color_of_a_mineral 
锫	锫 berkelium_(chemistry) 
锩	锩 to_bend_iron 
铔	铔 ammonium_(old) 
锥	锥 cone awl to_bore 
锕	锕 actinium_(chemistry) 
腼	腼 bashful 
靥	靥 dimple 
锟	锟 steel_sword 
陈	陈 surname_Chen vassal_state_during_the_Spring_and_Autumn_Period_770-475_BC Chen_of_the_Southern_dynasties_(557-589) 
陈	陈 to_lay_out to_exhibit to_display to_narrate to_state to_explain to_tell old stale 
闶	闶 in_閌閬|闶阆,_open_space_in_a_structure 
闳	闳 surname_Hong 
闳	闳 big gate 
回	回 variant_of_迴|回[hui2] 
奔	奔 variant_of_奔[ben1] variant_of_奔[ben4] 
周	周 week weekly variant_of_周[zhou1] 
邻	邻 neighbor adjacent close_to 
酦	酦 see_醱酵|酦酵[fa1_jiao4] 
酦	酦 to_ferment_alcohol Taiwan_pr._[po4] 
𬪩	𬪩 concentrated strong_wine 
酬	酬 variant_of_酬[chou2] 
宴	宴 variant_of_宴[yan4] 
酿	酿 to_ferment to_brew to_make_honey_(of_bees) to_lead_to to_form_gradually wine stuffed_vegetables_(cooking_method) 
衅	衅 quarrel dispute a_blood_sacrifice_(arch.) 
酾	酾 (literary)_to_filter_(wine) to_pour_(wine_or_tea) to_dredge also_pr._[shai1] Taiwan_pr._[si1] 
酽	酽 strong_(of_tea) 
酬	酬 variant_of_酬[chou2] 
达	达 surname_Da 
达	达 to_attain to_reach to_amount_to to_communicate eminent 
郸	郸 name_of_a_district_in_Hebei 
邺	邺 surname_Ye ancient_district_in_modern_day_Hebei_Province_河北省[He2_bei3_Sheng3] 
辽	辽 short_name_for_Liaoning_遼寧|辽宁[Liao2_ning2]_province Liao_or_Khitan_dynasty_(907-1125) 
遁	遁 variant_of_遁[dun4] 
迟	迟 surname_Chi 
迟	迟 late delayed slow 
迳	迳 way path direct diameter 
进	进 to_go_forward to_advance to_go_in to_enter to_put_in to_submit to_take_in to_admit (math.)_base_of_a_number_system classifier_for_sections_in_a_building_or_residential_compound 
郐	郐 surname_Kuai name_of_a_feudal_state 
邝	邝 surname_Kuang 
释	释 to_explain to_release Buddha_(abbr._for_釋迦牟尼|释迦牟尼[Shi4_jia1_mou2_ni2]) Buddhism 
过	过 surname_Guo 
过	过 to_cross to_go_over to_pass_(time) to_celebrate_(a_holiday) to_live to_get_along excessively too- 
过	过 (experienced_action_marker) 
溯	溯 variant_of_溯[su4] 
这	这 this these (commonly_pr._[zhei4]_before_a_classifier,_esp._in_Beijing) 
村	村 variant_of_村[cun1] 
酂	酂 group_of_100_families place_name 
郦	郦 surname_Li ancient_place_name 
适	适 surname_Shi 
适	适 to_fit suitable proper just_(now) comfortable well to_go to_follow_or_pursue 
迈	迈 to_take_a_step to_stride 
郓	郓 place_name 
连	连 surname_Lian 
詟	詟 to_be_frightened 
䜩	䜩 variant_of_宴[yan4] 
雠	雠 to_collate to_proofread variant_of_仇[chou2] 
财	财 money wealth riches property valuables 
乡	乡 country_or_countryside native_place home_village_or_town township_(PRC_administrative_unit) 
连	连 to_link to_join to_connect continuously in_succession including (used_with_也,_都_etc)_even company_(military) 
谗	谗 to_slander to_defame to_misrepresent to_speak_maliciously 
还	还 surname_Huan 
还	还 to_pay_back to_return 
遥	遥 distant remote far far_away 
逊	逊 to_abdicate modest yielding unpretentious inferior_to (slang)_to_suck 
回	回 to_curve to_return to_revolve 
迩	迩 recently near close 
边	边 side edge margin border boundary CL:個|个[ge4] simultaneously 
边	边 suffix_of_a_noun_of_locality 
邹	邹 surname_Zou vassal_state_during_the_Zhou_Dynasty_(1046-256_BC)_in_the_southeast_of_Shandong_Province 
绕	绕 variant_of_繞|绕[rao4],_to_rotate_around to_spiral to_move_around to_go_round_(an_obstacle) to_by-pass to_make_a_detour 
迁	迁 to_move to_shift to_change_(a_position_or_location_etc) to_promote 
选	选 to_choose to_pick to_select to_elect 
郏	郏 name_of_a_district_in_Henan 
醇	醇 old_variant_of_醇[chun2] 
丑	丑 shameful ugly disgraceful 
酝	酝 to_brew 
厘	厘 Li_(c._2000_BC),_sixth_of_the_legendary_Flame_Emperors_炎帝[Yan2_di4]_descended_from_Shennong_神農|神农[Shen2_nong2]_Farmer_God,_also_known_as_Ai_哀[Ai1] 
厘	厘 one_hundredth centi- 
侦	侦 old_variant_of_偵|侦[zhen1] 
游	游 to_walk to_tour to_roam to_travel 
递	递 to_hand_over to_pass_on_sth to_gradually_increase_or_decrease progressively 
远	远 far distant remote (intensifier_in_a_comparison)_by_far much_(lower_etc) 
远	远 to_distance_oneself_from_(classical) 
邬	邬 surname_Wu ancient_place_name 
郧	郧 name_of_a_feudal_state 
农	农 variant_of_農|农[nong2] 
医	医 medical medicine doctor to_cure to_treat 
郑	郑 Zheng_state_during_the_Warring_States_period surname_Zheng abbr._for_鄭州|郑州[Zheng4_zhou1] 
逻	逻 patrol 
逦	逦 winding 
腌	腌 to_salt to_pickle to_cure_(meat) to_marinate 
邓	邓 surname_Deng 
𬩽	𬩽 surname_Xun place_name Taiwan_pr._[Xin2] 
遗	遗 to_lose to_leave_behind to_omit to_bequeath sth_lost involuntary_discharge_(of_urine_etc) 
邮	邮 post_(office) mail 
乃	乃 variant_of_乃[nai3] 
酱	酱 thick_paste_of_fermented_soybean marinated_in_soy_paste paste jam 
运	运 to_move to_transport to_use to_apply fortune luck fate 
迥	迥 old_variant_of_迥[jiong3] 
松	松 loose to_loosen to_relax 
鬃	鬃 disheveled_hair horse's_mane 
胡	胡 beard mustache whiskers 
𫘝	𫘝 fast_(horse) 
驱	驱 old_variant_of_驅|驱[qu1] 
𬳶	𬳶 in_good_condition_(as_a_horse) 
驻	驻 to_halt to_stay to_be_stationed_(of_troops,_diplomats_etc) 
驽	驽 worn_out_old_horses 
体	体 body form style system substance to_experience aspect_(linguistics) 
验	验 to_examine to_test to_check 
鲪	鲪 Sebastodes_guntheri 
鲝	鲝 variant_of_鮓|鲊[zha3] variant_of_苲[zha3] 
鲧	鲧 Gun,_mythical_father_of_Yu_the_Great_大禹[Da4_Yu3] 
鲠	鲠 blunt fish_bones unyielding 
鲩	鲩 carp 
鲤	鲤 carp 
鲨	鲨 shark 
鲻	鲻 gray_mullet_(Mugil_cephalus) 
鲯	鲯 mahi-mahi_(Coryphaena_hippurus) dorado 
鲭	鲭 see_鯖魚|鲭鱼[qing1_yu2] 
鹠	鹠 see_鵂鶹|鸺鹠[xiu1_liu2] 
鹡	鹡 pied_wagtail 
鹘	鹘 falcon migratory_bird 
鹣	鹣 mythical_bird_with_one_eye_and_one_wing see_also_鰈鶼|鲽鹣[die2_jian1] 
鹚	鹚 cormorant 
鹚	鹚 variant_of_鶿|鹚[ci2] 
鹢	鹢 a_kind_of_aquatic_bird 
鹞	鹞 sparrow_hawk Accipiter_nisus 
䴘	䴘 see_鷿鷈|䴙䴘[pi4_ti1] 
䴘	䴘 variant_of_鷈|䴘[ti1] 
鹝	鹝 pheasant turkey old_variant_of_鷁|鹢[yi4] 
鹧	鹧 partridge Francolinus_chinensis 
鹥	鹥 wigeon_(Anas_penelope,_a_Eurasian_duck) seagull_(arch.) 
鸥	鸥 common_gull 
鸷	鸷 fierce brutal bird_of_prey 
鹨	鹨 pipit_(genus_Anthus) 
𬸦	𬸦 phoenix river_gull 
鸶	鸶 heron 
鹪	鹪 eastern_wren 
鹔	鹔 see_鷫鸘|鹔鹴[su4_shuang1] 
𬸪	𬸪 water-hen gallinula 
鹩	鹩 eastern_wren 
丽	丽 Korea 
丽	丽 beautiful 
饵	饵 pastry food to_swallow to_lure bait lure 
饹	饹 see_餄餎|饸饹[he2_le5] 
须	须 beard mustache feeler_(of_an_insect_etc) tassel 
鬓	鬓 temples hair_on_the_temples 
斗	斗 to_fight to_struggle to_condemn to_censure to_contend to_put_together coming_together 
剃	剃 variant_of_剃[ti4] 
鲞	鲞 dried_fish 
鲷	鲷 porgy pagrus_major 
鲱	鲱 Pacific_herring 
鲵	鲵 Cryptobranchus_japonicus salamander 
鲲	鲲 fry_(newly_hatched_fish) legendary_giant_fish_that_could_transform_into_a_giant_bird_鵬|鹏[Peng2] 
鲳	鲳 see_鯧魚|鲳鱼[chang1_yu2] 
鲸	鲸 whale 
魇	魇 to_have_a_nightmare 
鱼	鱼 surname_Yu 
鱼	鱼 fish CL:條|条[tiao2],尾[wei3] 
驹	驹 colt 
𬳵	𬳵 (horse) 
驵	驵 powerful_horse 
驾	驾 surname_Jia 
驾	驾 to_harness to_draw_(a_cart_etc) to_drive to_pilot to_sail to_ride your_good_self prefixed_word_denoting_respect_(polite_敬辞) 
骀	骀 tired worn_out_horse 
骡	骡 variant_of_騾|骡[luo2] 
惊	惊 to_startle to_be_frightened to_be_scared alarm 
鲮	鲮 mud_carp_(Cirrhina_molitorella) 
鲰	鲰 surname_Zou 
鲰	鲰 minnows small_fish 
鲶	鲶 sheatfish_(Parasilurus_asotus) oriental_catfish see_also_鮎|鲇[nian2] 
鳀	鳀 anchovy 
鲫	鲫 bastard_carp sand_perch 
鳊	鳊 bream 
燕	燕 variant_of_燕[yan4] 
鹫	鹫 vulture 
鹇	鹇 variant_of_鷴|鹇[xian2] 
鹇	鹇 silver_pheasant_(Phasianus_nycthemerus) silver_pheasant_badge_worn_by_civil_officials_of_the_5th_grade 
鹬	鹬 common_snipe sandpiper 
鹰	鹰 eagle falcon hawk 
鸣	鸣 to_cry_(of_birds,_animals_and_insects) 
鸢	鸢 kite_(small_hawk) 
䴓	䴓 nuthatch_(bird_of_genus_Sitta) 
麸	麸 bran 
面	面 variant_of_麵|面[mian4] 
曲	曲 variant_of_麴|曲[qu1] 
曲	曲 yeast Aspergillus_(includes_many_common_molds) Taiwan_pr._[qu2] 
面	面 flour noodles (of_food)_soft_(not_crunchy) (slang)_(of_a_person)_ineffectual spineless 
饣	饣 "to_eat"_or_"food"_radical_in_Chinese_characters_(Kangxi_radical_184) 
斗	斗 variant_of_鬭|斗[dou4] 
闹	闹 noisy cacophonous to_make_noise to_disturb to_vent_(feelings) to_fall_ill to_have_an_attack_(of_sickness) to_go_in_(for_some_activity) to_joke 
鲗	鲗 cuttlefish 
䲠	䲠 see_鰆魚|䲠鱼[chun1_yu2] 
鲽	鲽 flatfish flounder sole 
鳇	鳇 sturgeon 
鳅	鳅 loach 
鳄	鳄 variant_of_鱷|鳄[e4] 
鳆	鳆 Haliotis_gigantea sea_ear 
鳃	鳃 gills_of_fish 
驸	驸 prince_consort 
驶	驶 to_gallop speedily to_proceed_to to_pilot_(ship,_plane_etc) to_sail 
驼	驼 hump_or_hunchbacked camel 
驼	驼 variant_of_駝|驼[tuo2] 
驷	驷 team_of_4_horses 
骂	骂 variant_of_罵|骂[ma4] 
骈	骈 surname_Pian 
骈	骈 (of_a_pair_of_horses)_to_pull_side_by_side to_be_side_by_side to_be_fused_together parallel_(literary_style) 
𬳽	𬳽 large_crowd 
骇	骇 to_astonish to_startle to_hack_(computing,_loanword) 
髌	髌 kneecapping to_cut_or_smash_the_kneecaps_as_corporal_punishment 
髋	髋 pelvis pelvic 
饥	饥 hungry 
飐	飐 to_sway_in_the_wind 
鳒	鳒 flounder flatfish 
鳑	鳑 see_鰟鮍|鳑鲏,_small_carp 
鲥	鲥 shad Ilisha_elongata 
𫚕	𫚕 Seriola_qinqueradiata yellow_tail 
鳏	鳏 widower 
鳎	鳎 sole_(fish) 
鳐	鳐 skate_(cartilaginous_fish_belonging_to_the_family_Rajidae) ray_(fish) 
鳍	鳍 fin 
鳁	鳁 sardine 
鲢	鲢 Hypophthalmichthys_moritrix 
鹭	鹭 heron 
鸴	鸴 various_species_of_finch_(old) 
䴙	䴙 see_鷿鷈|䴙䴘[pi4_ti1] 
㶉	㶉 see_鸂鶒|㶉鶒[xi1_chi4] 
鹯	鹯 sparrow_hawk swift 
䴙	䴙 variant_of_鷿|䴙[pi4] 
莺	莺 variant_of_鶯|莺[ying1] 
鹲	鹲 tropic_bird 
𬸚	𬸚 young_phoenix 
鸬	鸬 cormorant 
鹴	鹴 see_鷫鸘|鹔鹴[su4_shuang1] 
鹦	鹦 parrot 
鹳	鹳 crane stork 
鹂	鹂 Chinese_oriole 
鸾	鸾 mythical_bird_related_to_phoenix 
鸩	鸩 legendary_bird_whose_feathers_can_be_used_as_poison poisonous to_poison_sb 
鸨	鸨 Chinese_bustard procuress 
雁	雁 variant_of_雁[yan4] 
鸦	鸦 crow 
鸰	鸰 wagtail lark 
鸵	鸵 ostrich 
鸳	鸳 mandarin_duck 
鸲	鸲 (bound_form,_used_in_the_names_of_birds_of_various_biological_families) 
饤	饤 display_food_for_show_only sacrifice 
饲	饲 old_variant_of_飼|饲[si4] 
饦	饦 (cake) 
饨	饨 Chinese_ravioli 
饪	饪 cooked_food to_cook_(until_ready) 
饫	饫 full_(as_of_eating) 
饬	饬 keep_in_order stern to_order direct 
饭	饭 food cuisine cooked_rice meal CL:碗[wan3],頓|顿[dun4] 
饽	饽 cake biscuit 
馁	馁 hungry 
饿	饿 to_be_hungry hungry to_starve_(sb) 
哺	哺 to_eat evening_meal 
哺	哺 see_餔子|哺子[bu4_zi5] 
馂	馂 remains_of_a_sacrifice_or_a_meal 
饾	饾 to_set_out_food 
𫗧	𫗧 pot_of_cooked_rice 
余	余 extra surplus remaining remainder_after_division (following_numerical_value)_or_more in_excess_of_(some_number) residue_(math.) after I me 
馀	馀 surname_Yu 
馀	馀 variant_of_餘|余[yu2],_remainder 
哄	哄 tumult uproar commotion disturbance 
阋	阋 to_argue to_quarrel 
斗	斗 variant_of_鬥|斗[dou4] 
斗	斗 variant_of_鬥|斗[dou4] 
阄	阄 lots_(to_be_drawn) lot_(in_a_game_of_chance) 
郁	郁 old_variant_of_鬱|郁[yu4] 
郁	郁 surname_Yu 
郁	郁 dense_(growth) melancholy 
鳌	鳌 mythological_sea_turtle 
鳓	鳓 Chinese_herring_(Ilisha_elongata) white_herring slender_shad 
𬶭	𬶭 Konosirus_punctatus 
鲦	鲦 Korean_sharpbelly_(fish,_Hemiculter_leucisculus) chub 
鲣	鲣 bonito 
鲹	鲹 carangid_(zoology) 
鳗	鳗 eel Anguilla_lostoniensis 
鳛	鳛 loach mudfish 
鳔	鳔 swim_bladder air_bladder_of_fish 
𬶨	𬶨 see_白鱀豚|白𬶨豚[bai2_ji4_tun2] 
鳙	鳙 see_鱅魚|鳙鱼[yong1_yu2] 
𩾌	𩾌 see_鮟鱇|𩽾𩾌[an1_kang1] 
驳	驳 variant_of_駁|驳[bo2] 
骃	骃 iron-gray_(horse) 
骆	骆 surname_Luo 
骆	骆 camel white_horse_with_a_black_mane_(archaic) 
骎	骎 fleet_horse 
骏	骏 spirited_horse 
骋	骋 to_hasten to_run to_open_up to_gallop 
骍	骍 horse_(or_cattle)_of_reddish_color bay_horse 
𫘧	𫘧 (horse) 
骓	骓 surname_Zhui 
骓	骓 piebald 
骔	骔 variant_of_騣|鬃[zong1] 
骒	骒 mare jenny 
骑	骑 (Taiwan)_saddle_horse mounted_soldier 
骑	骑 to_ride_(an_animal_or_bike) to_sit_astride classifier_for_saddle-horses 
鳕	鳕 codfish Gadus_macrocephalus 
鳖	鳖 freshwater_soft-shelled_turtle 
鳟	鳟 trout barbel Taiwan_pr._[zun4] 
鳝	鳝 variant_of_鱔|鳝[shan4] 
鳝	鳝 Chinese_yellow_eel 
鳜	鳜 mandarin_fish Chinese_perch_(Siniperca_chuatsi) 
鳞	鳞 scales_(of_fish) 
卤	卤 alkaline_soil salt brine halogen_(chemistry) crass stupid 
咸	咸 salted salty stingy miserly 
鱽	鱽 Coilia_ectenes 
鸮	鸮 owl_(order_Strigiformes) 
鸱	鸱 scops_owl 
鸪	鸪 partridge Francolinus_chinensis 
鸯	鸯 mandarin_duck 
鸭	鸭 duck CL:隻|只[zhi1] (slang)_male_prostitute 
鸸	鸸 see_鴯鶓|鸸鹋[er2_miao2] 
鸹	鸹 a_crow 
鸻	鸻 plover 
䴕	䴕 woodpecker 
鸿	鸿 eastern_bean_goose great large 
飧	飧 variant_of_飧[sun1] 
饮	饮 to_drink 
饮	饮 to_give_(animals)_water_to_drink 
阶	阶 rank_or_step stairs 
鲟	鲟 sturgeon Acipenser_sturio 
鲼	鲼 any_ray_(fish)_variety_of_Myliobatiformes_order 
鲎	鲎 horseshoe_crab 
鲀	鲀 pufferfish_(family_Tetraodontidae) 
鲁	鲁 surname_Lu Shandong_Province_山東省|山东省[Shan1_dong1_Sheng3] vassal_state_during_the_Zhou_Dynasty_(1066-221_BC)_in_modern_day_Shandong_Province 
鲁	鲁 crass stupid rude 
骐	骐 piebald_horse used_for_麒[qi2],_mythical_unicorn 
验	验 variant_of_驗|验[yan4] 
骛	骛 fast greedy run_rapidly 
骗	骗 to_cheat to_swindle to_deceive to_get_on_(a_horse_etc)_by_swinging_one_leg_over 
鲙	鲙 see_鱠魚|鲙鱼[kuai4_yu2] variant_of_膾|脍[kuai4] 
鳣	鳣 see_鱔|鳝[shan4] 
鳣	鳣 sturgeon_(old) Acipenser_micadoi 
鳢	鳢 snakefish snakehead_mullet 
鲿	鲿 Bagridae_(catfish_family) 
鲚	鲚 Coilia_nasus 
鳠	鳠 a_species_of_freshwater_catfish 
𫚭	𫚭 minnow 
鳄	鳄 crocodile alligator 
鹾	鹾 brine salt 
碱	碱 variant_of_鹼|碱[jian3] 
碱	碱 base alkali soda_(chemistry) 
盐	盐 salt CL:粒[li4] 
鸽	鸽 pigeon dove 
䴔	䴔 a_kind_of_aquatic_bird 
